ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType
416980,420470000000,,,-1168859867133863936,0.0,1.5004495620727539E7,0.0,316.8858904382445,1,2,0.0,15,386687533998632,27,24.8,-40.82750701904297,0.6360000371932983,0,0.0,0.0,,,,,0,,1
416982,420470000000,,,-1168859867133863936,0.0,1.5004495620727539E7,0.0,316.8858904382445,1,5,0.0,15,386687529258468,61,18.7,-590.3576049804688,1.0099999904632568,0,0.0,0.0,,,,,0,,1
416984,420470000000,,,-1168859867133863936,0.0,1.5004495620727539E7,0.0,316.8858904382445,1,6,0.0,15,386687533330982,16,29.5,494.61279296875,0.04620000347495079,0,0.0,0.0,,,,,0,,1
416986,420470000000,,,-1168859867133863936,0.0,1.5004495620727539E7,0.0,316.8858904382445,1,16,0.0,15,386687525260005,27,24.8,-86.48847198486328,0.6240000128746033,0,0.0,0.0,,,,,0,,1
416988,420470000000,,,-1168859867133863936,0.0,1.5004495620727539E7,0.0,316.8858904382445,1,30,0.0,15,386687528879066,14,30.3,-667.8839111328125,0.037800002843141556,0,0.0,0.0,,,,,0,,1
417987,421470000000,,,-1168859867133863936,0.0,1.5004809379577637E7,-0.9765624737812494,316.8858904382445,1,2,0.0,15,386688533998718,24,25.2,-41.12592315673828,0.40130001306533813,0,0.0,0.0,,,,,0,,1
417989,421470000000,,,-1168859867133863936,0.0,1.5004809379577637E7,-0.9765624737812494,316.8858904382445,1,5,0.0,15,386688529260477,53,19.1,-589.1206665039062,1.0099999904632568,0,0.0,0.0,,,,,0,,1
417990,421470000000,,,-1168859867133863936,0.0,1.5004809379577637E7,-0.9765624737812494,316.8858904382445,1,6,0.0,15,386688533329335,17,28.8,494.7355651855469,0.052799999713897705,0,0.0,0.0,,,,,0,,1
417991,421470000000,,,-1168859867133863936,0.0,1.5004809379577637E7,-0.9765624737812494,316.8858904382445,1,16,0.0,15,386688525260294,31,23.7,-86.53604888916016,0.6739999651908875,0,0.0,0.0,,,,,0,,1
417992,421470000000,,,-1168859867133863936,0.0,1.5004809379577637E7,-0.9765624737812494,316.8858904382445,1,30,0.0,15,386688528881286,14,30.6,-667.8377685546875,0.037800002843141556,0,0.0,0.0,,,,,0,,1
